,page_url,artist,artist_nationality,artist_birthdate,title,image_url,year,gallery,gallery_location,medium,medium_details,size_inches,size_cm,condition,classification,signed,authenticated,framed,currency,price
336,https://www.artsy.net/artwork/madelyn-wood-keys,Madelyn Wood,American,1997,Keys,https://d32dm0rphc51dk.cloudfront.net/WkxW3ncJLxBLJ4ou0dd1cg/large.jpg,2018-2020,MTFA,Secure payment,Painting,Mixed,8 × 6 × 2 in,20.3 × 15.2 × 5.1 cm,Pristine Condition,This is a unique work.,Hand-signed by artist,NA,Included,$,"1,200"
337,https://www.artsy.net/artwork/david-shevlino-floating-tube,David Shevlino,American,1962,Floating Tube,https://d32dm0rphc51dk.cloudfront.net/6QcpawgmdNTe-J0FtfxXeA/large.jpg,2018,Burlingame,Certificate of authenticity,Painting,Oil on panel,24 × 24 × 2 in,61 × 61 × 5.1 cm,Excellent condition,This is a unique work.,"Hand-signed by artist, Artist signed front in paint and verso with ink along with date and title. ",Included,Included,$,"6,000"
338,https://www.artsy.net/artwork/sonia-delaunay-geometric-fabric-design,Sonia Delaunay,"French, 1885–1979",NA,Geometric Fabric Design,https://d32dm0rphc51dk.cloudfront.net/KBSuKVKXEkx2Vo4ASpk9Iw/large.jpg,ca. 20's-30's,Buy now,Make offer,Painting,Gouache,8 3/10 × 7 9/10 in,21 × 20 cm,Excellent,Edition of 1,Stamped - Collection Robert Perrier,Included,Included,NA,NA
339,https://www.artsy.net/artwork/preston-paperboy-wall-friend-005-1,Preston Paperboy,British,NA,Wall Friend 005,https://d32dm0rphc51dk.cloudfront.net/PELXT5SwT8T2ij4w7I78cA/large.jpg,2020,"Phoenix, Venice",Certificate of authenticity,Painting,"Oil, Acrylic, Charcoal, Oil Pastel on Canvas",24 × 24 × 1 1/2 in,61 × 61 × 3.8 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,$,"2,200"
340,https://www.artsy.net/artwork/angel-botello-angel-botello-original-oil-painting-on-board-signed-female-portrait-modern-art,Angel Botello,"Spanish, 1913–1986",NA,Angel Botello Original Oil Painting On Board Signed Female Portrait Modern Art,https://d32dm0rphc51dk.cloudfront.net/Mbsk07gbxFu3o5_wOKshCw/large.jpg,20th Century,Original Art Broker,Certificate of authenticity,Painting,Oil Paint on Board,34 × 29 in,86.4 × 73.7 cm,Excellent Condition - Like New,This is a unique work.,"Hand-signed by artist, Bottom Left (see photo)",Included,Included,$,"16,895"
341,https://www.artsy.net/artwork/pablo-picasso-vase-avec-decoration-pastel-vase-with-pastel-decorations,Pablo Picasso,"Spanish, 1881–1973",NA,Vase avec decoration pastel (Vase with Pastel Decorations),https://d32dm0rphc51dk.cloudfront.net/e5gv7l7txD73JdCjLWWwXQ/large.jpg,1953,Make offer,RoGallery,Design/Decorative Art,"Chamotted red earthenware clay, pastel decoration",12 1/2 × 8 1/2 × 6 1/2 in,31.8 × 21.6 × 16.5 cm,Excellent,Edition 126/200,Stamped and numbered on bottom,NA,Not included,NA,NA
342,https://www.artsy.net/artwork/banksy-time-out-london-poster-1,Banksy,British,NA,TIME OUT LONDON (Poster),https://d32dm0rphc51dk.cloudfront.net/K-daldu3T6BboXyJd55GVA/large.jpg,2010,Make offer,Silverback Gallery,Print,Offset Lithograph Printed in Multi-colors on Satin Paper.,26 17/20 × 20 7/25 in,68.2 × 51.5 cm,Great condition with very light handling marks ,Edition of 5000,Not signed,NA,Not included,NA,NA
343,https://www.artsy.net/artwork/joan-hernandez-pijuan-untitled-36,Joan Hernández Pijuan,"Spanish, 1931–2005",NA,Untitled,https://d32dm0rphc51dk.cloudfront.net/k6TkitNw3qMrlRxUyyn6AA/large.jpg,1994,Make offer,Rafael Pérez Hernando Arte Contemporáneo,"Drawing, Collage or other Work on Paper",Graphite on Japan paper,5 2/5 × 5 1/2 in,13.8 × 14 cm,NA,This is a unique work.,"Hand-signed by artist, Right corner. ",Included,Included,€,"6,500"
344,https://www.artsy.net/artwork/leroy-neiman-leroy-neiman-original-watercolor-painting-large-playboy-nude-women-signed-art-1,LeRoy Neiman,"American, 1921–2012",NA,LeRoy Neiman Original Watercolor Painting Large Playboy Nude Women Signed Art,https://d32dm0rphc51dk.cloudfront.net/cSgECJObEs7TN9nYIX7Uww/large.jpg,1985,Original Art Broker,Certificate of authenticity,Painting,Ink and Watercolor,30 × 38 in,76.2 × 96.5 cm,Excellent Condition - Like New,This is a unique work.,"Hand-signed by artist, Lower Left (see photo)",Included,Included,$,"18,895"
345,https://www.artsy.net/artwork/joan-miro-serie-v-from-derriere-le-miroir,Joan Miró,"Spanish, 1893–1983",NA,Série V from Derrière Le Miroir,https://d32dm0rphc51dk.cloudfront.net/36pBpkf-F_bZyevE98YITw/large.jpg,1952,Trigonal,Jersey City,Print,Ink on paper,15 × 11 in,38.1 × 27.9 cm,Very good condition. Slight discoloration at edge of work.,This work is part of a limited edition set.,Not signed,NA,Not included,$,500
