,page_URL,artist,artist_nationality,artist_birthdate,title,image_URL,year,gallery,gallery_location,medium,medium_details,size_inches,size_cm,condition,classification,signed,authenticated,framed,currency,price
658,https://www.artsy.net/artwork/ronald-davis-notched-slab-1,Ronald Davis,American,1937,Notched Slab,https://d32dm0rphc51dk.cloudfront.net/Xp6IltmHc82BFQsMf-JiOw/large.jpg,2001,Heather James Fine Art,"Palm Desert, Jackson Hole, New York, San Francisco, Montecito",Painting,Acrylic on PVC,35 × 51 1/4 × 1 in,88.9 × 130.2 × 2.5 cm,"The colors are vibrant, the support appears stable, and the surface appears clean. Slight blemish appears inherent to process.",This is a unique work.,"Hand-signed by artist, Signed in black marker, verso, ""PTN Notched Slab 2001 35 x 51 3/16 inches Acrylic on Expanded PVC Ronald Davis""",Included,Not included,$,"24,000"
659,https://www.artsy.net/artwork/amber-goldhammer-the-love-myth,Amber Goldhammer,American,1979,The Love Myth ,https://d32dm0rphc51dk.cloudfront.net/aet41rYK1TGkyZGFvtJdtw/large.jpg,2020,"Newport Beach, Los Angeles , Palm Springs",Certificate of authenticity,Painting,"Acrylic, Spray, Latex, Ink on Canvas",48 × 48 in,121.9 × 121.9 cm,NA,This is a unique work.,"Hand-signed by artist, Back of Canvas",Included,Not included,$,"1,950"
660,https://www.artsy.net/artwork/andy-warhol-ladies-and-gentlemen-helen-slash-harry-morales-1,Andy Warhol,"American, 1928–1987",NA,Ladies and Gentlemen (Helen/ Harry Morales),https://d32dm0rphc51dk.cloudfront.net/K5J14PyPO4GcXpyhIedzyg/large.jpg,ca. 1974,"West Hollywood, Los Angeles",Certificate of authenticity,Photography,Unique Polaroid print,4 1/4 × 3 3/8 in,10.8 × 8.6 cm,NA,This is a unique work.,"Stamped by artist's estate, Stamped on the verso by the Estate of the Artist and The Andy Warhol Foundation for the Visual Arts. Foundation … ",Included,Not included,$,"15,500"
661,https://www.artsy.net/artwork/chris-hood-eternal-sun,Chris Hood,American,1984,Eternal Sun,https://d32dm0rphc51dk.cloudfront.net/yMtFskYA_0Z0LngkIbcLWg/large.jpg,2020,Davis Editions / Davis Originals,Certificate of authenticity,Print,Archival pigment print,40 × 30 in,101.6 × 76.2 cm,NA,Edition of 10 + 2AP,Stamped and numbered verso,Included,Not included,T,his is a unique work.
662,https://www.artsy.net/artwork/mark-di-suvero-sketch-for-van-abbemuseum-eindhoven,Mark di Suvero,American,1933,Sketch for van Abbemuseum,https://d32dm0rphc51dk.cloudfront.net/5-NvinIAxW3CtxI8zCx7aw/large.jpg,Eindhoven,Certificate of authenticity,This work includes a certificate of authenticity.,"Drawing, Collage or other Work on Paper",Marker wash on paper. Pencil signed. Floated and framed.,15 × 17 × 1 in,38.1 × 43.2 × 2.5 cm,Very good vintage condition,This is a unique work.,"Hand-signed by artist, Signed in graphite pencil lower right recto",Included,Included,$,"10,000"
663,https://www.artsy.net/artwork/keith-haring-untitled-helmet-and-invitation-1,Keith Haring,"American, 1958–1990",NA,Untitled (Helmet and Invitation),https://d32dm0rphc51dk.cloudfront.net/K7sjo31G7mmzowXXXrUFaQ/large.jpg,1987,West Chelsea Contemporary,"Austin , Lakeway, Austin",Other,Marker pen on helmet and printed paper invitation,6 1/2 × 11 × 8 1/2 in,16.5 × 27.9 × 21.6 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,$,"39,000"
664,https://www.artsy.net/artwork/janusz-szpyt-the-hen-catcher,Janusz Szpyt,Polish,NA,The Hen-Catcher,https://d32dm0rphc51dk.cloudfront.net/BHNePsZcgq_ly4aeZ8TYlA/large.jpg,2007,Make offer,Gallery Katarzyna Napiorkowska | Warsaw & Brussels,Painting,Oil on canvas,47 1/5 × 39 2/5 × 4/5 in,120 × 100 × 2 cm,Very good condition,This is a unique work.,"Hand-signed by artist, Signed on the canvas",Included,Not included,€,"3,500"
665,https://www.artsy.net/artwork/yigal-ozeri-untitled-erna-in-the-water-2,Yigal Ozeri,Israeli,1958,Untitled; Erna in the Water,https://d32dm0rphc51dk.cloudfront.net/QuiWdVNcamrl2gaRBM5J2w/large.jpg,2020,Louis K. Meisel Gallery,"New York, North Adams, Sagaponack",Painting,Oil on canvas,36 × 64 × 2 in,91.4 × 162.6 × 5.1 cm,"Excellent, new work",This is a unique work.,Hand-signed by artist,Included,Included,$,"60,000"
666,https://www.artsy.net/artwork/delita-martin-untitled-girl-on-stool-2020,Delita Martin,American,1972,Untitled (Girl on Stool),https://d32dm0rphc51dk.cloudfront.net/h0dylKwtV7DJ0bJ5S03NEw/large.jpg,2020,Baltimore,Secure payment,Mixed Media,"Relief printing, Charcoal, Acrylic, Decorative papers, Hand stitching",72 × 52 in,182.9 × 132.1 cm,NA,This is a unique work.,Hand-signed by artist,NA,Not included,$,"35,000"
667,https://www.artsy.net/artwork/damien-hirst-h7-3-rainbow-butterfly-heart-1,Damien Hirst,British,1965,H7-3 Rainbow Butterfly Heart,https://d32dm0rphc51dk.cloudfront.net/FA3-a__x2uUJW8wlR0X9tQ/large.jpg,2020,Buy now,Make offer,Print,Laminated Giclée print on aluminium composite panel,27 3/5 × 28 3/5 in,70 × 72.7 cm,NA,Edition of 1698,Stamped by artist's estate,Included,Not included,T,his work is part of a limited edition set.
